fec_candidate_id,name,party,status,state,zip,fec_committee_id,cycle,cand_status,office_state,district,branch,url,crp_id
H4NY14090,"PERRI, ELIZABETH",CRV,C,NY,10462,,2018,N,NY,14,H,,
H8NY15155,"GONZALEZ, JASON D.",REP,C,NY,10461,,2018,N,NY,15,H,,
H0NY18065,"SERRANO, JOSE E.",DEM,I,NY,10451,C00240986,2018,C,NY,15,H,,N00001813
H8NY19058,"ENGEL, ELIOT L.",DEM,I,NY,10601,C00236513,2018,C,NY,16,H,,N00001003
H8NY17110,"CIARDULLO, JOSEPH JOHN",REF,C,NY,10956,C00679936,2018,C,NY,17,H,https://www.averagejoeforcongress.com/,
H8NY20056,"LOWEY, NITA M",DEM,I,NY,10601,C00219881,2018,C,NY,17,H,https://loweyforcongress.com/,N00001024
H2NY22139,"MALONEY, SEAN PATRICK",DEM,I,NY,12550,C00512426,2018,C,NY,18,H,,N00034277
H8NY18274,"O'DONNELL, JAMES D",REP,C,NY,10924,C00668798,2018,C,NY,18,H,,
H8NY19280,"COHEN, BOB",WF,C,NY,,,2018,N,NY,19,H,,
H8NY19181,"DELGADO, ANTONIO",DEM,C,NY,12572,C00633859,2018,C,NY,19,H,delgadoforcongress.com/,
H6NY19169,"FASO, JOHN J. MR.",REP,I,NY,12106,C00580415,2018,C,NY,19,H,https://johnfaso.com/,N00037288
H2NY22097,"GREENFIELD, STEVEN",GRE,C,NY,12561,,2018,N,NY,19,H,http://stevegreenfieldforcongress.com/,
H8NY21203,"TONKO, PAUL DAVID",DEM,I,NY,12206,C00450049,2018,C,NY,20,H,http://paultonko.com/,N00030196
H6NY20209,"VITOLLO, FRANCIS JOSEPH",REP,C,NY,12045,C00613174,2018,N,NY,20,H,https://www.vitollo4congress.com/,N00039413
H8NY21245,"COBB, TEDRA LYNNE MS.",DEM,C,NY,13652,C00649061,2018,C,NY,21,H,tedracobb.com/,
H4NY21079,"STEFANIK, ELISE M.",REP,I,NY,12801,C00547893,2018,C,NY,21,H,https://eliseforcongress.com/,N00035523
H8NY21252,"WILSON, KATIE",DEM,C,NY,12942,C00650531,2018,C,NY,21,H,katiewilsonforcongress.com/,
H8NY22151,"BRINDISI, ANTHONY",DEM,C,NY,13503,C00648725,2018,C,NY,22,H,https://www.brindisiforcongress.com/,
H4NY22051,"TENNEY, CLAUDIA",REP,I,VA,13501,C00632828,2018,C,NY,22,H,https://claudiaforcongress.com/,
H8NY23183,"MITRANO, TRACY",DEM,C,NY,14527,C00654525,2018,C,NY,23,H,tracymitranoforcongress.com/,
H0NY29054,"REED, THOMAS W",REP,I,NY,14830,C00464032,2018,C,NY,23,H,,N00030949
H8NY24090,"BALTER, DANA",DEM,C,NY,13205,C00655183,2018,C,NY,24,H,electdanabalter.com/,
H4NY24073,"KATKO, JOHN M",REP,I,NY,13031,C00556365,2018,C,NY,24,H,https://www.johnkatkoforcongress.com/,N00035934
H8NY25097,"MAXWELL, JAMES T. DR",REP,C,NY,14610,C00666164,2018,C,NY,25,H,https://drjimmaxwell.com/,
H8NY25105,"MORELLE, JOSEPH D",DEM,O,NY,14609,C00675108,2018,C,NY,25,H,https://www.votemorelle.com/,
H4NY27076,"HIGGINS, BRIAN",DEM,I,NY,14220,C00401034,2018,C,NY,26,H,,N00027060
H8NY26137,"ZENO, RENEE MARIE MISS",REP,C,NY,14216,C00679050,2018,N,NY,26,H,https://zenoforcongressny.com/,
H8NY29032,"COLLINS, CHRISTOPHER C",REP,I,NY,14031,C00520379,2018,C,NY,27,H,,N00001285
H8NY27176,"MCMURRAY, NATHAN DOUGLAS",DEM,O,NY,14072,C00666453,2018,C,NY,27,H,https://votemcmurray.com/,
H8NY27150,"PIEGZA, LAWRENCE MARK",NPA,O,NY,14226,C00664458,2018,C,NY,27,H,https://fixitlarry.org/,
H2NY28110,"DECKER, ANDREW MICHAEL",REP,C,NY,14464,C00503797,2018,N,NY,28,H,,
H0NY28106,"GIULIANO, MICHAEL NEIL",REP,C,NY,14604,C00481853,2018,N,NY,28,H,,
H4NY29106,"KOLB, BRIAN M",REP,C,NY,14424,C00393561,2018,P,NY,29,H,,
H6NY36015,"LAFALCE, JOHN J",DEM,C,NY,14217,C00025379,2018,P,NY,29,H,,
H6NY29168,"Massa, Eric JJ",DEM,,NY,14830,C00411306,2018,P,NY,29,H,,
H8NY36037,"TEMURI, PRINCE MUHAMMAD ALI HH",OTH,C,NY,10001,,2018,N,NY,36,H,,
S6OH00163,"BROWN, SHERROD",DEM,I,OH,44011,C00264697,2018,C,OH,0,S,https://www.sherrodbrown.com/,
S8OH00102,"RENACCI, JAMES B",REP,C,OH,44281,C00466359,2018,C,OH,0,S,http://jimrenacci.com/,
H8OH01043,"CHABOT, STEVE",REP,I,OH,45211,C00301838,2018,C,OH,1,H,http://stevechabot.com/,N00003689
H8OH01118,"Pureval, Aftab",DEM,C,OH,45201,C00667519,2018,C,OH,1,H,https://aftabforohio.com/,
